Date,Open,High,Low,Close
2020-02-07,1.10844,1.1091,1.094,1.0944
2020-01-31,1.10303,1.10957,1.0991,1.10917
2020-01-24,1.10908,1.1118,1.1019,1.10251
2020-01-17,1.11168,1.11728,1.1084,1.1088
2020-01-10,1.11596,1.12055,1.1084,1.112
2020-01-03,1.11791,1.12393,1.1123,1.11598
2019-12-27,1.10781,1.11883,1.1068,1.11754
2019-12-20,1.1129,1.11747,1.1065,1.10768
2019-12-13,1.10573,1.11996,1.1052,1.11223
2019-12-06,1.10209,1.11162,1.1001,1.10564
2019-11-29,1.10218,1.10323,1.098,1.10173
2019-11-22,1.10515,1.1097,1.1013,1.1022
2019-11-15,1.10199,1.1057,1.0988,1.10512
2019-11-08,1.11649,1.11755,1.1015,1.10189
2019-11-01,1.10818,1.11758,1.1071,1.1164
2019-10-25,1.11573,1.11795,1.1071,1.10799
2019-10-18,1.10299,1.1183,1.0989,1.1182
2019-10-11,1.09812,1.10628,1.0939,1.1035
2019-10-04,1.09445,1.09994,1.0878,1.0975
2019-09-27,1.10177,1.10255,1.0904,1.09394
2019-09-20,1.10789,1.10864,1.0989,1.1017
2019-09-13,1.10249,1.11096,1.0926,1.1071
2019-09-06,1.0992,1.10847,1.0924,1.10289
2019-08-30,1.1154,1.11541,1.0961,1.0989
2019-08-23,1.10952,1.11532,1.105,1.11431
2019-08-16,1.12021,1.12308,1.1065,1.109
2019-08-09,1.11057,1.12496,1.1104,1.1197
2019-08-02,1.11316,1.11621,1.1025,1.11083
2019-07-26,1.12177,1.12255,1.11,1.11278
2019-07-19,1.12718,1.12839,1.1198,1.12211
2019-07-12,1.12286,1.1286,1.1192,1.127
2019-07-05,1.13685,1.13711,1.1206,1.12245
2019-06-28,1.13746,1.14122,1.1343,1.13733
2019-06-21,1.12145,1.13778,1.118,1.13685
2019-06-14,1.13172,1.13435,1.1201,1.12089
2019-06-07,1.11716,1.13479,1.1159,1.1333
2019-05-31,1.12098,1.1215,1.1115,1.11686
2019-05-24,1.11628,1.12121,1.1106,1.1202
2019-05-17,1.12352,1.12636,1.1154,1.11581
2019-05-10,1.11939,1.12536,1.1165,1.12379
2019-05-03,1.11505,1.12648,1.1134,1.11933
2019-04-26,1.12421,1.1262,1.1109,1.1149
2019-04-19,1.13046,1.13237,1.1224,1.12449
2019-04-12,1.12185,1.13239,1.1213,1.12984
2019-04-05,1.12218,1.12547,1.1182,1.1212
2019-03-29,1.12954,1.13316,1.1208,1.1217
2019-03-22,1.13264,1.14482,1.1272,1.13
2019-03-15,1.12342,1.13444,1.122,1.1324
2019-03-08,1.1377,1.13815,1.1175,1.12347
2019-03-01,1.1336,1.14197,1.1333,1.1362
2019-02-22,1.12907,1.13713,1.1274,1.13344
2019-02-15,1.13181,1.13416,1.1233,1.1294
2019-02-08,1.14555,1.14604,1.1317,1.1321
